Winner,Player1_Class,Player2_Class
Fighter,Fighter,Monk
Mage,Fighter,Mage
Draw,Fighter,Ranger
Barbarian,Fighter,Barbarian
Rogue,Fighter,Rogue
Shadow Blade,Fighter,Shadow Blade
Fighter,Monk,Fighter
Mage,Monk,Mage
Ranger,Monk,Ranger
Barbarian,Monk,Barbarian
Rogue,Monk,Rogue
Monk,Monk,Shadow Blade
Mage,Mage,Fighter
Mage,Mage,Monk
Ranger,Mage,Ranger
Barbarian,Mage,Barbarian
Mage,Mage,Rogue
Mage,Mage,Shadow Blade
Ranger,Ranger,Fighter
Ranger,Ranger,Monk
Ranger,Ranger,Mage
Barbarian,Ranger,Barbarian
Rogue,Ranger,Rogue
Shadow Blade,Ranger,Shadow Blade
Barbarian,Barbarian,Fighter
Draw,Barbarian,Monk
Mage,Barbarian,Mage
Ranger,Barbarian,Ranger
Rogue,Barbarian,Rogue
Barbarian,Barbarian,Shadow Blade
Rogue,Rogue,Fighter
Rogue,Rogue,Monk
Rogue,Rogue,Mage
Ranger,Rogue,Ranger
Rogue,Rogue,Barbarian
Draw,Rogue,Shadow Blade
Shadow Blade,Shadow Blade,Fighter
Shadow Blade,Shadow Blade,Monk
Mage,Shadow Blade,Mage
Ranger,Shadow Blade,Ranger
Barbarian,Shadow Blade,Barbarian
Rogue,Shadow Blade,Rogue
Fighter,Fighter,Monk
Mage,Fighter,Mage
Ranger,Fighter,Ranger
Barbarian,Fighter,Barbarian
Draw,Fighter,Rogue
Draw,Fighter,Shadow Blade
Fighter,Monk,Fighter
Mage,Monk,Mage
Draw,Monk,Ranger
Monk,Monk,Barbarian
Draw,Monk,Rogue
Shadow Blade,Monk,Shadow Blade
Mage,Mage,Fighter
Mage,Mage,Monk
Ranger,Mage,Ranger
Barbarian,Mage,Barbarian
Mage,Mage,Rogue
Shadow Blade,Mage,Shadow Blade
Draw,Ranger,Fighter
Ranger,Ranger,Monk
Ranger,Ranger,Mage
Barbarian,Ranger,Barbarian
Draw,Ranger,Rogue
Shadow Blade,Ranger,Shadow Blade
Draw,Barbarian,Fighter
Barbarian,Barbarian,Monk
Draw,Barbarian,Mage
Barbarian,Barbarian,Ranger
Barbarian,Barbarian,Rogue
Shadow Blade,Barbarian,Shadow Blade
Rogue,Rogue,Fighter
Monk,Rogue,Monk
Draw,Rogue,Mage
Rogue,Rogue,Ranger
Barbarian,Rogue,Barbarian
Rogue,Rogue,Shadow Blade
Fighter,Shadow Blade,Fighter
Draw,Shadow Blade,Monk
Mage,Shadow Blade,Mage
Shadow Blade,Shadow Blade,Ranger
Barbarian,Shadow Blade,Barbarian
Shadow Blade,Shadow Blade,Rogue
Fighter,Fighter,Monk
Draw,Fighter,Mage
Fighter,Fighter,Ranger
Draw,Fighter,Barbarian
Rogue,Fighter,Rogue
Draw,Fighter,Shadow Blade
Fighter,Monk,Fighter
Monk,Monk,Mage
Draw,Monk,Ranger
Monk,Monk,Barbarian
Rogue,Monk,Rogue
Shadow Blade,Monk,Shadow Blade
Fighter,Mage,Fighter
Mage,Mage,Monk
Ranger,Mage,Ranger
Mage,Mage,Barbarian
Mage,Mage,Rogue
Mage,Mage,Shadow Blade
Fighter,Ranger,Fighter
Ranger,Ranger,Monk
Ranger,Ranger,Mage
Ranger,Ranger,Barbarian
Ranger,Ranger,Rogue
Ranger,Ranger,Shadow Blade
Barbarian,Barbarian,Fighter
Monk,Barbarian,Monk
Barbarian,Barbarian,Mage
Barbarian,Barbarian,Ranger
Rogue,Barbarian,Rogue
Shadow Blade,Barbarian,Shadow Blade
Rogue,Rogue,Fighter
Draw,Rogue,Monk
Rogue,Rogue,Mage
Rogue,Rogue,Ranger
Rogue,Rogue,Barbarian
Rogue,Rogue,Shadow Blade
Fighter,Shadow Blade,Fighter
Shadow Blade,Shadow Blade,Monk
Draw,Shadow Blade,Mage
Ranger,Shadow Blade,Ranger
Shadow Blade,Shadow Blade,Barbarian
Rogue,Shadow Blade,Rogue
Fighter,Fighter,Monk
Mage,Fighter,Mage
Fighter,Fighter,Ranger
Barbarian,Fighter,Barbarian
Draw,Fighter,Rogue
Fighter,Fighter,Shadow Blade
Monk,Monk,Fighter
Monk,Monk,Mage
Monk,Monk,Ranger
Monk,Monk,Barbarian
Draw,Monk,Rogue
Monk,Monk,Shadow Blade
Fighter,Mage,Fighter
Monk,Mage,Monk
Ranger,Mage,Ranger
Barbarian,Mage,Barbarian
Rogue,Mage,Rogue
Mage,Mage,Shadow Blade
Ranger,Ranger,Fighter
Monk,Ranger,Monk
Ranger,Ranger,Mage
Barbarian,Ranger,Barbarian
Rogue,Ranger,Rogue
Shadow Blade,Ranger,Shadow Blade
Fighter,Barbarian,Fighter
Monk,Barbarian,Monk
Barbarian,Barbarian,Mage
Ranger,Barbarian,Ranger
Rogue,Barbarian,Rogue
Shadow Blade,Barbarian,Shadow Blade
Draw,Rogue,Fighter
Monk,Rogue,Monk
Draw,Rogue,Mage
Ranger,Rogue,Ranger
Rogue,Rogue,Barbarian
Draw,Rogue,Shadow Blade
Shadow Blade,Shadow Blade,Fighter
Monk,Shadow Blade,Monk
Mage,Shadow Blade,Mage
Shadow Blade,Shadow Blade,Ranger
Shadow Blade,Shadow Blade,Barbarian
Rogue,Shadow Blade,Rogue
Fighter,Fighter,Monk
Mage,Fighter,Mage
Ranger,Fighter,Ranger
Barbarian,Fighter,Barbarian
Rogue,Fighter,Rogue
Fighter,Fighter,Shadow Blade
Fighter,Monk,Fighter
Draw,Monk,Mage
Ranger,Monk,Ranger
Monk,Monk,Barbarian
Rogue,Monk,Rogue
Shadow Blade,Monk,Shadow Blade
Fighter,Mage,Fighter
Draw,Mage,Monk
Ranger,Mage,Ranger
Barbarian,Mage,Barbarian
Draw,Mage,Rogue
Shadow Blade,Mage,Shadow Blade
Fighter,Ranger,Fighter
Draw,Ranger,Monk
Mage,Ranger,Mage
Barbarian,Ranger,Barbarian
Draw,Ranger,Rogue
Shadow Blade,Ranger,Shadow Blade
Barbarian,Barbarian,Fighter
Monk,Barbarian,Monk
Draw,Barbarian,Mage
Draw,Barbarian,Ranger
Barbarian,Barbarian,Rogue
Shadow Blade,Barbarian,Shadow Blade
